character,level,strokes,grade,freq,onyomi,kunyomi,meanings
党,N2,10,6,39,トウ,なかま; むら,party; faction; clique
協,N2,8,4,121,キョウ,,co-; cooperation
総,N2,14,5,129,ソウ,す.べて; すべ.て; ふさ,general; whole; all; full; total
区,N2,4,3,137,ク; オウ; コウ,,ward; district
領,N2,14,5,138,リョウ,えり,jurisdiction; dominion; territory; fief; reign
県,N2,9,3,140,ケン,か.ける,prefecture
設,N2,11,5,145,セツ,もう.ける,establishment; provision; prepare
改,N2,7,4,147,カイ,あらた.める; あらた.まる,reformation; change; modify; mend; renew; examine; inspect; search
府,N2,8,4,170,フ,,borough; urban prefecture; govt office; representative body; storehouse
査,N2,9,5,184,サ,,investigate
委,N2,8,3,187,イ,ゆだ.ねる,committee; entrust to; leave to; devote; discard
軍,N2,9,4,189,グン,いくさ,army; force; troops; war; battle
団,N2,6,5,213,ダン; トン,かたまり; まる.い,group; association
各,N2,6,4,243,カク,おのおの,each; every; either
島,N2,10,3,245,トウ,しま,island
革,N2,9,6,249,カク,かわ,leather; skin; reform; become serious
村,N2,7,1,253,ソン,むら,village; town
勢,N2,13,5,260,セイ; ゼイ,いきお.い; はずみ,forces; energy; military strength
減,N2,12,5,261,ゲン,へ.る; へ.らす,dwindle; decrease; reduce; decline; curtail; get hungry
再,N2,6,5,275,サイ; サ,ふたた.び,again; twice; second time
税,N2,12,5,289,ゼイ,,tax; duty
営,N2,12,5,303,エイ,いとな.む; いとな.み,camp; perform; build; conduct (business)
比,N2,4,5,329,ヒ,くら.べる,compare; race; ratio; Philippines
防,N2,7,5,331,ボウ,ふせ.ぐ,ward off; defend; protect; resist
補,N2,12,6,332,ホ,おぎな.う,supplement; supply; make good; offset; compensate; assistant; learner
境,N2,14,5,346,キョウ; ケイ,さかい,boundary; border; region
導,N2,15,5,354,ドウ,みちび.く,guidance; leading; conduct; usher
副,N2,11,4,360,フク,,vice-; assistant; aide; duplicate; copy
算,N2,14,2,361,サン,そろ,calculate; divining; number; abacus; probability
輸,N2,16,5,371,ユ; シュ,,transport; send; be inferior
述,N2,8,5,379,ジュツ,の.べる,mention; state; speak; relate
線,N2,15,2,382,セン,すじ,line; track
農,N2,13,3,385,ノウ,,agriculture; farmers
州,N2,6,3,386,シュウ; ス,す,state; province
武,N2,8,5,387,ブ; ム,たけ; たけ.し,warrior; military; chivalry; arms
象,N2,12,5,394,ショウ; ゾウ,かたど.る,elephant; pattern after; imitate; image; shape; sign (of the times)
域,N2,11,6,396,イキ,,range; region; limits; stage; level
額,N2,18,5,407,ガク,ひたい,forehead; tablet; plaque; framed picture; sum; amount; volume
欧,N2,8,8,421,オウ,うた.う; は.く,Europe
担,N2,8,6,422,タン,かつ.ぐ; にな.う,shouldering; carry; raise; bear
準,N2,13,5,425,ジュン,じゅん.じる; じゅん.ずる; なぞら.える; のり; ひと.しい; みずもり,semi-; correspond to; proportionate to; conform; imitate
賞,N2,15,5,426,ショウ,ほ.める,prize; reward; praise
辺,N2,5,4,428,ヘン,あた.り; ほと.り; -べ,environs; boundary; border; vicinity
造,N2,10,5,429,ゾウ,つく.る; つく.り; -づく.り,create; make; structure; physique
被,N2,10,8,431,ヒ,こうむ.る; おお.う; かぶ.る; かぶ.せる,incur; cover; veil; brood over; shelter; wear; put on; be exposed (film); receiving
技,N2,7,5,434,ギ,わざ,skill; art; craft; ability; feat; performance; vocation; arts
低,N2,7,4,435,テイ,ひく.い; ひく.める; ひく.まる,lower; short; humble
復,N2,12,5,438,フク,また,restore; return to; revert; resume
移,N2,11,5,448,イ,うつ.る; うつ.す,"shift; move; change; drift; catch (cold, fire); pass into"
個,N2,10,5,451,コ; カ,,individual; counter for articles
門,N2,8,2,452,モン,かど; と,gate; counter for cannons
課,N2,15,4,455,カ,,chapter; lesson; section; department; division; counter for chapters (of a book)
脳,N2,11,6,459,ノウ; ドウ,のうずる,brain; memory
極,N2,12,4,460,キョク; ゴク,きわ.める; きわ.まる; きわ.まり; きわ.み; き.める; -ぎ.め; き.まる,extreme; pole; extremely; very; highly; most; end; settlement; conclusion; highest rank
含,N2,7,8,466,ガン,ふく.む; ふく.める,contain; include; hold in the mouth; bear in mind; understand; cherish
蔵,N2,15,6,468,ゾウ; ソウ,くら; おさ.める; かく.れる,storehouse; hide; own; have; possess
